geneno,Gene.id,Accession,chromosome,start,end,gene.descrip,Go,Term-enrich
111252748,LOC111252748,NW_019211459.1 ,chr6,4714576,4719564,uncharacterized LOC111252748,,
111252325,LOC111252325,NW_019211459.1 ,chr6,4729744,4755761,eukaryotic translation initiation factor 4 gamma 1-like,,
111252966,LOC111252966,NW_019211459.1 ,chr6,4775135,4786409,E3 ubiquitin-protein ligase ARIH1-like,,
111252967,LOC111252967,NW_019211459.1 ,chr6,4786415,4798778,E3 ubiquitin-protein ligase ARIH1-like,,
111254401,LOC111254401,NW_019211460.1 ,chr7,2565206,2584159,ethanolamine-phosphate cytidylyltransferase-like,,
111254403,LOC111254403,NW_019211460.1 ,chr7,2584985,2588766,ethanolamine-phosphate cytidylyltransferase-like,,
111254250,LOC111254250,NW_019211460.1 ,chr7,11113832,11122799,olfactomedin-like protein 2B,,
111254013,LOC111254013,NW_019211460.1 ,chr7,11147298,11359444,uncharacterized LOC111254013,,
111254085,LOC111254085,NW_019211460.1 ,chr7,14299082,14315705,multidrug resistance-associated protein 1-like,,
111254266,LOC111254266,NW_019211460.1 ,chr7,14338944,14344859,analicular multispecific organic anion transporter 2-like,,
111254567,LOC111254567,NW_019211460.1 ,chr7,16776607,16784153,structural maintenance of chromosomes protein 3-like,,
111254431,LOC111254431,NW_019211460.1 ,chr7,16784714,16792431,structural maintenance of chromosomes protein 3-like,,
