shared,SOG_ID,OG_ID,V.destructor,V.jacobsoni,T.mercedesae,M.occidentalis,I.scapularis,T.urticae,AncestralClade,GOTerms
6,ACLT,ACLT-0001,LOC111242836,LOC111258735,maker-scaffold0000010162-augustus-gene-0*54-mRNA-1,LOC100902758,IscW_ISCW008174,LOC107371399,ROOT,NA
6,ABDE,ABDE-0003,LOC111242837,LOC111261907,maker-scaffold0000003460-augustus-gene-0*48-mRNA-1,LOC108863780,IscW_ISCW007959,LOC107362294,ROOT,GO:0006508;GO:0004222
6,AFMH,AFMH-0001,LOC111242842,LOC111258851,maker-scaffold0000010919-augustus-gene-0*29-mRNA-1,LOC100900398,IscW_ISCW020443,LOC107364420,ROOT,GO:0030145;GO:0004619;GO:0005737;GO:0006007
6,ABKX,ABKX-0002,LOC111242844,LOC111269129,augustus-scaffold0000012429-processed-gene-0*22-mRNA-1,LOC100901912,IscW_ISCW004925,LOC107371724,ROOT,GO:0003824;GO:0008152
6,AETK,AETK-0001,LOC111242846,LOC111269131,augustus-scaffold0000002069-processed-gene-0*12-mRNA-1,LOC100904385,IscW_ISCW009002,LOC107369787,ROOT,GO:0042254;GO:0005515
6,ABCP,ABCP-0004,LOC111242847,LOC111269132,augustus-scaffold0000001300-processed-gene-0*9-mRNA-1,LOC100901630,IscW_ISCW002252,LOC107369823,ROOT,GO:0016021
6,ACNS,ACNS-0002,LOC111242849,LOC111269116,augustus-scaffold0000004462-processed-gene-0*4-mRNA-1,LOC100905618,IscW_ISCW014824,LOC107364369,ROOT,GO:0016021;GO:0007186;GO:0004930
6,ACNR,ACNR-0002,LOC111242852,LOC111269334,maker-scaffold0000007843-augustus-gene-0*40-mRNA-1,LOC100905928,IscW_ISCW023585,LOC107365904,ROOT,GO:0005525
6,ABYG,ABYG-0003,LOC111242853,LOC111272224,maker-scaffold0000032719-augustus-gene-0*21-mRNA-1,LOC100898734,IscW_ISCW015035,LOC107362634,ROOT,GO:0016491
6,ABHG,ABHG-0002,LOC111242855,LOC111267881,maker-scaffold0000002077-augustus-gene-0*43-mRNA-1,LOC100904495,IscW_ISCW002156,LOC107371736,ROOT,GO:0016020
6,ABWV,ABWV-0002,LOC111242858,LOC111264613,augustus-scaffold0000025588-processed-gene-0*4-mRNA-1,LOC100902168,IscW_ISCW017077,LOC107371410,ROOT,GO:0008152;GO:0000062;GO:0005515;GO:0003824
6,ACRO,ACRO-0001,LOC111242859,LOC111265807,augustus-scaffold0000000770-processed-gene-0*11-mRNA-1,LOC100898073,IscW_ISCW006036,LOC107370769,ROOT,GO:0005515
6,ABKH,ABKH-0001,LOC111242860,LOC111272266,maker-scaffold0000012117-augustus-gene-0*34-mRNA-1,LOC100901763,IscW_ISCW007909,LOC107360965,ROOT,NA
6,ACKR,ACKR-0001,LOC111242865,LOC111259565,maker-scaffold0000002508-augustus-gene-0*30-mRNA-1,LOC100904465,IscW_ISCW016786,LOC107372006,ROOT,GO:0005524;GO:0004814;GO:0005737;GO:0006420
6,AEGD,AEGD-0001,LOC111242866,LOC111264611,maker-scaffold0000025588-augustus-gene-0*9-mRNA-1,LOC100897976,IscW_ISCW001798,LOC107368375,ROOT,GO:0000145;GO:0006904;GO:0015031
6,ADOZ,ADOZ-0001,LOC111242868,LOC111271500,maker-scaffold0000013614-augustus-gene-0*12-mRNA-1,LOC100907675,IscW_ISCW020076,LOC107367274,ROOT,GO:0007528;GO:0045666;GO:0045211;GO:0048666;GO:0021522;GO:0005737;GO:0005634;GO:0048665;GO:0005515
6,AIUZ,AIUZ-0001,LOC111242878,LOC111266720,maker-scaffold0000030111-augustus-gene-0*17-mRNA-1,LOC100897500,IscW_ISCW006369,LOC107366814,ROOT,GO:0008053
6,ACQG,ACQG-0002,LOC111242879,LOC111272646,maker-scaffold0000017802-augustus-gene-0*46-mRNA-1,LOC100908933,IscW_ISCW023197,LOC107363714,ROOT,GO:0000030;GO:0006493;GO:0016020
6,AHWL,AHWL-0001,LOC111242880,LOC111265649,maker-scaffold0000001275-augustus-gene-0*10-mRNA-1,LOC100908836,IscW_ISCW015393,LOC107363071,ROOT,GO:0005840;GO:0003735;GO:0006412
6,ABSF,ABSF-0001,LOC111242881,LOC111265731,maker-scaffold0000030238-augustus-gene-0*7-mRNA-1,LOC100905341,IscW_ISCW000015,LOC107360979,ROOT,GO:0046856
6,AILM,AILM-0001,LOC111242886,LOC111268168,maker-scaffold0000028467-augustus-gene-0*18-mRNA-1,LOC100905199,IscW_ISCW017826,LOC107369359,ROOT,GO:0005739
6,AGKH,AGKH-0001,LOC111242893,LOC111272648,genemark-scaffold0000000770-processed-gene-0*7-mRNA-1,LOC100908793,IscW_ISCW023863,LOC107371092,ROOT,GO:0005515
6,AFDN,AFDN-0001,LOC111242896,LOC111261205,maker-scaffold0000015953-augustus-gene-0*25-mRNA-1,LOC100903450,IscW_ISCW017219,LOC107368903,ROOT,GO:0005840;GO:0003735;GO:0006412
6,AHXY,AHXY-0001,LOC111242897,LOC111273942,augustus-scaffold0000005692-processed-gene-0*26-mRNA-1,LOC100904181,IscW_ISCW022773,LOC107363392,ROOT,NA
6,AFBE,AFBE-0001,LOC111242900,LOC111266644,augustus-scaffold0000010952-processed-gene-0*23-mRNA-1,LOC100903317,IscW_ISCW006222,LOC107371032,ROOT,GO:0051603;GO:0004298;GO:0005839
6,AFMG,AFMG-0001,LOC111242901,LOC111262600,maker-scaffold0000014578-augustus-gene-0*12-mRNA-1,LOC100899752,IscW_ISCW023068,LOC107362772,ROOT,GO:0005840;GO:0003735;GO:0006412
6,ABFK,ABFK-0001,LOC111242907,LOC111271623,augustus-scaffold0000013498-processed-gene-0*15-mRNA-1,LOC100906069,IscW_ISCW002528,LOC107361738,ROOT,GO:0006979;GO:0004601;GO:0055114;GO:0020037
6,AEQT,AEQT-0001,LOC111242913,LOC111269448,augustus-scaffold0000023460-processed-gene-0*7-mRNA-1,LOC100906287,IscW_ISCW022661,LOC107367461,ROOT,GO:0008152;GO:0016747
6,AFSY,AFSY-0001,LOC111242918,LOC111268517,augustus-scaffold0000009741-processed-gene-0*21-mRNA-1,LOC100897403,IscW_ISCW012564,LOC107365269,ROOT,GO:0006508;GO:0004222
6,ABOI,ABOI-0002,LOC111242920,LOC111267797,augustus-scaffold0000011189-processed-gene-0*1-mRNA-1,LOC100901661,IscW_ISCW020584,LOC107367519,ROOT,GO:0004402;GO:0016573;GO:0006355
6,ABGJ,ABGJ-0003,LOC111242925,LOC111262611,maker-scaffold0000028833-augustus-gene-0*16-mRNA-1,LOC100901698,IscW_ISCW009857,LOC107359238,ROOT,GO:0080019
6,ADTM,ADTM-0001,LOC111242932,LOC111266510,genemark-scaffold0000018078-processed-gene-0*9-mRNA-1,LOC100905110,IscW_ISCW018893,LOC107362450,ROOT,GO:0005515;GO:0005096;GO:0051056
6,ADOC,ADOC-0001,LOC111242935,LOC111263466,maker-scaffold0000003103-augustus-gene-0*111-mRNA-1,LOC100902734,IscW_ISCW007621,LOC107369675,ROOT,GO:0006351;GO:0003676;GO:0006379;GO:0008270
6,AGXI,AGXI-0001,LOC111242947,LOC111262017,maker-scaffold0000007743-augustus-gene-0*17-mRNA-1,LOC100900527,IscW_ISCW022605,LOC107365680,ROOT,GO:0016598;GO:0004057
6,AENR,AENR-0001,LOC111242950,LOC111273674,augustus-scaffold0000020392-processed-gene-0*31-mRNA-1,LOC108864190,IscW_ISCW017872,LOC107370298,ROOT,GO:0005634;GO:0046983;GO:0030374;GO:0006355
6,ACIY,ACIY-0002,LOC111242952,LOC111261760,genemark-scaffold0000033280-processed-gene-0*8-mRNA-1,LOC100898175,IscW_ISCW013029,LOC107365670,ROOT,GO:0005576;GO:0006030;GO:0008061
6,ANDE,ANDE-0001,LOC111242964,LOC111266480,maker-scaffold0000005950-augustus-gene-0*1-mRNA-1,LOC100902935,IscW_ISCW022568,LOC107363920,ROOT,NA
6,ABKH,ABKH-0003,LOC111242973,LOC111272252,maker-scaffold0000012247-augustus-gene-0*22-mRNA-1,LOC100900492,IscW_ISCW016485,LOC107370106,ROOT,NA
6,ABCX,ABCX-0015,LOC111242977,LOC111263465,maker-scaffold0000012271-augustus-gene-0*35-mRNA-1,LOC100908151,IscW_ISCW020603,LOC107362509,ROOT,GO:0016021;GO:0007186;GO:0004983
6,ACST,ACST-0001,LOC111242981,LOC111262601,augustus-scaffold0000005462-processed-gene-0*6-mRNA-1,LOC100906844,IscW_ISCW019590,LOC107369258,ROOT,GO:0005515
6,AESR,AESR-0001,LOC111242983,LOC111263735,augustus-scaffold0000002512-processed-gene-0*13-mRNA-1,LOC100907137,IscW_ISCW007670,LOC107360666,ROOT,GO:0005515
6,AHCY,AHCY-0001,LOC111242989,LOC111260345,maker-scaffold0000004205-augustus-gene-0*8-mRNA-1,LOC100907645,IscW_ISCW000858,LOC107368004,ROOT,GO:0007094;GO:0005515
6,ACSM,ACSM-0001,LOC111242991,LOC111271659,maker-scaffold0000009757-augustus-gene-0*8-mRNA-1,LOC100901406,IscW_ISCW023825,LOC107359441,ROOT,GO:0005515
6,AGTY,AGTY-0001,LOC111242994,LOC111267874,augustus-scaffold0000016351-processed-gene-0*10-mRNA-1,LOC100898967,IscW_ISCW002709,LOC107370863,ROOT,GO:0004168;GO:0043048
6,AEQP,AEQP-0001,LOC111243005,LOC111264039,maker-scaffold0000017895-augustus-gene-0*14-mRNA-1,LOC100908903,IscW_ISCW019185,LOC107364087,ROOT,GO:0005509;GO:0005515
6,AEGM,AEGM-0001,LOC111243012,LOC111266627,maker-scaffold0000028438-augustus-gene-0*15-mRNA-1,LOC100897742,IscW_ISCW000028,LOC107368371,ROOT,NA
6,AEGH,AEGH-0001,LOC111243013,LOC111266628,maker-scaffold0000028438-augustus-gene-0*17-mRNA-1,LOC100902309,IscW_ISCW016800,LOC107364724,ROOT,GO:0035556
6,AHBN,AHBN-0001,LOC111243017,LOC111259566,maker-scaffold0000001896-augustus-gene-0*11-mRNA-1,LOC100908154,IscW_ISCW022643,LOC107359760,ROOT,GO:0071840;GO:0009987;GO:0044424
6,ADKT,ADKT-0001,LOC111243018,LOC111271335,maker-scaffold0000009737-augustus-gene-0*19-mRNA-1,LOC100905075,IscW_ISCW019054,LOC107365837,ROOT,GO:0016021
6,ABPL,ABPL-0001,LOC111243022,LOC111262772,maker-scaffold0000007169-augustus-gene-0*21-mRNA-1,LOC108864165,IscW_ISCW018410,LOC107364875,ROOT,GO:0008081;GO:0006629
6,ABCV,ABCV-0004,LOC111243030,LOC111264131,maker-scaffold0000008629-augustus-gene-0*27-mRNA-1,LOC100907932,IscW_ISCW005068,LOC107366388,ROOT,GO:0016021;GO:0055085;GO:0022857
6,ABMR,ABMR-0001,LOC111243031,LOC111258719,maker-scaffold0000010949-augustus-gene-0*37-mRNA-1,LOC100901593,IscW_ISCW004698,LOC107359172,ROOT,GO:0030154;GO:0044444;GO:0004888;GO:0051179;GO:0016021;GO:0051716;GO:0043229;GO:0012505;GO:0007399;GO:0034097;GO:0048522;GO:0098609;GO:0097367;GO:0031982;GO:0098589;GO:0045916;GO:0005576;GO:0005886;GO:0045321;GO:0005515;GO:0051704
6,ACZF,ACZF-0001,LOC111243034,LOC111268078,maker-scaffold0000008430-augustus-gene-0*5-mRNA-1,LOC100905411,IscW_ISCW015964,LOC107372153,ROOT,GO:0005515
6,AEGK,AEGK-0001,LOC111243038,LOC111264490,genemark-scaffold0000004791-processed-gene-0*4-mRNA-1,LOC100903269,IscW_ISCW000021,LOC107368483,ROOT,GO:0043227;GO:0002244;GO:0003723;GO:0016020;GO:0005737;GO:0008022
6,ACPS,ACPS-0001,LOC111243047,LOC111264064,maker-scaffold0000018399-augustus-gene-0*33-mRNA-1,LOC100899466,IscW_ISCW015944,LOC107361640,ROOT,GO:0019510;GO:0004013;GO:0051287;GO:0006730
6,ABDI,ABDI-0002,LOC111243050,LOC111260658,augustus-scaffold0000010767-processed-gene-0*1-mRNA-1,LOC100905961,IscW_ISCW002341,LOC107371582,ROOT,GO:0043565;GO:0006355
6,ADEJ,ADEJ-0001,LOC111243056,LOC111260464,maker-scaffold0000009485-augustus-gene-0*54-mRNA-1,LOC100908747,IscW_ISCW016654,LOC107365512,ROOT,GO:0046872;GO:0005515
6,AHEY,AHEY-0001,LOC111243057,LOC111260465,maker-scaffold0000009485-augustus-gene-0*55-mRNA-1,LOC100909033,IscW_ISCW003250,LOC107366255,ROOT,GO:0061700;GO:0032008;GO:0005515
6,AGCT,AGCT-0001,LOC111243061,LOC111259149,maker-scaffold0000011730-augustus-gene-0*16-mRNA-1,LOC100901610,IscW_ISCW012830,LOC107365672,ROOT,GO:0005840;GO:0003735;GO:0006412
6,ABHW,ABHW-0004,LOC111243063,LOC111272392,augustus-scaffold0000020403-processed-gene-0*15-mRNA-1,LOC100905677,IscW_ISCW017464,LOC107359521,ROOT,GO:0004871;GO:0005525;GO:0007188;GO:0003924;GO:0031683
6,ABYG,ABYG-0002,LOC111243066,LOC111260466,maker-scaffold0000009485-augustus-gene-0*51-mRNA-1,LOC100905941,IscW_ISCW005749,LOC107359493,ROOT,GO:0016491
6,AGCU,AGCU-0001,LOC111243070,LOC111259152,maker-scaffold0000017731-augustus-gene-0*47-mRNA-1,LOC100901750,IscW_ISCW013570,LOC107360626,ROOT,GO:0005634;GO:0046983;GO:0003700;GO:0006355
6,ABGR,ABGR-0002,LOC111243071,LOC111263585,genemark-scaffold0000002864-processed-gene-0*6-mRNA-1,LOC100905992,IscW_ISCW012180,LOC107372155,ROOT,GO:0044464;GO:0016829;GO:0050896;GO:0003824
6,ACHK,ACHK-0001,LOC111243072,LOC111259151,maker-scaffold0000017731-augustus-gene-0*48-mRNA-1,LOC100901468,IscW_ISCW016977,LOC107363576,ROOT,GO:0008474;GO:0002084
6,AGXB,AGXB-0001,LOC111243075,LOC111270862,augustus-scaffold0000006994-processed-gene-0*27-mRNA-1,LOC100903681,IscW_ISCW003566,LOC107360068,ROOT,GO:0005515
6,ACXY,ACXY-0002,LOC111243078,LOC111270866,augustus-scaffold0000006994-processed-gene-0*29-mRNA-1,LOC100899445,IscW_ISCW009854,LOC107367488,ROOT,GO:0007275;GO:0035869;GO:0005515;GO:0060429;GO:0009653;GO:0060271;GO:0005815;GO:0051179
6,AEYW,AEYW-0001,LOC111243091,LOC111266885,maker-scaffold0000006529-augustus-gene-0*11-mRNA-1,LOC100904177,IscW_ISCW008642,LOC107369664,ROOT,GO:0005515
6,ABLV,ABLV-0002,LOC111243100,LOC111267233,maker-scaffold0000018584-augustus-gene-0*66-mRNA-1,LOC100906342,IscW_ISCW006452,LOC107365595,ROOT,GO:0007165
6,AFNZ,AFNZ-0001,LOC111243103,LOC111272158,maker-scaffold0000008657-augustus-gene-0*11-mRNA-1,LOC100907225,IscW_ISCW016778,LOC107359981,ROOT,GO:0005634;GO:0042393;GO:0006974;GO:0018312;GO:0010835
6,ACOJ,ACOJ-0001,LOC111243112,LOC111261217,maker-scaffold0000020270-augustus-gene-0*6-mRNA-1,LOC108864244,IscW_ISCW007056,LOC107366232,ROOT,GO:0048731;GO:0031410;GO:0005515;GO:0012505;GO:0016020;GO:0006810;GO:0050789;GO:0071704;GO:0009987;GO:0043231;GO:0016787
6,ABON,ABON-0001,LOC111243113,LOC111261211,genemark-scaffold0000001513-processed-gene-0*4-mRNA-1,LOC100903157,IscW_ISCW013575,LOC107361946,ROOT,GO:0005576
6,ABCG,ABCG-0015,LOC111243114,LOC111261212,maker-scaffold0000001513-augustus-gene-0*35-mRNA-1,LOC100903298,IscW_ISCW016307,LOC107369492,ROOT,GO:0042302
6,ASMI,ASMI-0001,LOC111243122,LOC111265396,maker-scaffold0000031945-augustus-gene-0*36-mRNA-1,LOC100897463,IscW_ISCW014086,LOC107371479,ROOT,GO:0016021;GO:0016012
6,AFDO,AFDO-0001,LOC111243124,LOC111268539,genemark-scaffold0000025504-processed-gene-0*1-mRNA-1,LOC100907215,IscW_ISCW002777,LOC107363039,ROOT,GO:0030695;GO:0005515
6,ABQX,ABQX-0002,LOC111243125,LOC111268541,maker-scaffold0000013037-augustus-gene-0*32-mRNA-1,LOC100897287,IscW_ISCW012070,LOC107369301,ROOT,GO:0006004;GO:0004560
6,AJZM,AJZM-0001,LOC111243126,LOC111266882,maker-scaffold0000001918-augustus-gene-0*42-mRNA-1,LOC100904609,IscW_ISCW022176,LOC107361849,ROOT,GO:0006434;GO:0004828;GO:0005524;GO:0005737
6,AGPT,AGPT-0001,LOC111243127,LOC111268545,augustus-scaffold0000013037-processed-gene-0*7-mRNA-1,LOC100902965,IscW_ISCW023301,LOC107363541,ROOT,GO:0008299
6,ADCS,ADCS-0001,LOC111243130,LOC111268752,maker-scaffold0000005637-augustus-gene-0*69-mRNA-1,LOC100899698,IscW_ISCW018887,LOC107365050,ROOT,GO:0007411;GO:0010646;GO:0023051;GO:0005102
6,AFTJ,AFTJ-0001,LOC111243132,LOC111271017,augustus-scaffold0000006301-processed-gene-0*12-mRNA-1,LOC100907812,IscW_ISCW003107,LOC107367550,ROOT,GO:0005622;GO:0006886
6,AEXI,AEXI-0001,LOC111243138,LOC111264286,maker-scaffold0000023602-augustus-gene-0*26-mRNA-1,LOC100902765,IscW_ISCW007758,LOC107364641,ROOT,GO:0005681;GO:0005515;GO:0006396
6,ADXF,ADXF-0001,LOC111243139,LOC111264287,maker-scaffold0000024813-augustus-gene-0*19-mRNA-1,LOC100897813,IscW_ISCW015137,LOC107363407,ROOT,GO:0006433;GO:0005524;GO:0004827;GO:0005737
6,ABWP,ABWP-0002,LOC111243140,LOC111264290,maker-scaffold0000019829-augustus-gene-0*27-mRNA-1,LOC100897668,IscW_ISCW009539,LOC107363088,ROOT,GO:0016579;GO:0006511;GO:0036459
6,AGTU,AGTU-0001,LOC111243141,LOC111264292,maker-scaffold0000024813-augustus-gene-0*20-mRNA-1,LOC100898105,IscW_ISCW006940,LOC107367494,ROOT,GO:0005576;GO:0009987
6,ABTZ,ABTZ-0002,LOC111243149,LOC111260636,genemark-scaffold0000011947-processed-gene-0*21-mRNA-1,LOC100905813,IscW_ISCW018507,LOC107360471,ROOT,GO:0009116;GO:0009156;GO:0004749;GO:0009165;GO:0000287
6,ABCL,ABCL-0015,LOC111243158,LOC111271021,genemark-scaffold0000015393-processed-gene-0*8-mRNA-1,LOC100900127,IscW_ISCW014579,LOC107369271,ROOT,GO:0030010;GO:0005524;GO:0000226;GO:0006468;GO:0004674
6,ACNK,ACNK-0002,LOC111243160,LOC111263732,augustus-scaffold0000006801-processed-gene-0*27-mRNA-1,LOC100906923,IscW_ISCW003289,LOC107367100,ROOT,GO:0007229;GO:1900407;GO:0005829;GO:0007179;GO:0036071;GO:0046368;GO:0007585;GO:0006491;GO:0008424;GO:0016477;GO:0010468;GO:0043112;GO:0000139;GO:0018279
6,ABFI,ABFI-0004,LOC111243161,LOC111263711,maker-scaffold0000005024-augustus-gene-0*56-mRNA-1,LOC100899672,IscW_ISCW020731,LOC107359178,ROOT,GO:0008484;GO:0008152
6,AJTS,AJTS-0001,LOC111243166,LOC111260637,maker-scaffold0000011947-augustus-gene-0*67-mRNA-1,LOC100898060,IscW_ISCW013662,LOC107371817,ROOT,GO:0006689;GO:0008047
6,AHMY,AHMY-0001,LOC111243168,LOC111260934,genemark-scaffold0000001143-processed-gene-0*6-mRNA-1,LOC100899601,IscW_ISCW008438,LOC107367753,ROOT,GO:0016021;GO:0055114;GO:0016627;GO:0006784
6,AIDT,AIDT-0001,LOC111243170,LOC111260639,maker-scaffold0000011947-exonerate_protein2genome-gene-0*44-mRNA-1,LOC100900265,IscW_ISCW003596,LOC107366131,ROOT,GO:0032299;GO:0006401
6,AIUC,AIUC-0001,LOC111243171,LOC111268215,augustus-scaffold0000006479-processed-gene-0*8-mRNA-1,LOC100905839,IscW_ISCW021217,LOC107361943,ROOT,GO:0005515
6,ABDE,ABDE-0002,LOC111243172,LOC111263087,genemark-scaffold0000002647-processed-gene-0*4-mRNA-1,LOC100898155,IscW_ISCW007711,LOC107366242,ROOT,GO:0006508;GO:0004222
6,ABWO,ABWO-0001,LOC111243177,LOC111262018,maker-scaffold0000006331-augustus-gene-0*69-mRNA-1,LOC100908857,IscW_ISCW004620,LOC107371128,ROOT,GO:0003746;GO:0006414;GO:0005853
6,ABQV,ABQV-0004,LOC111243178,LOC111260796,maker-scaffold0000007242-augustus-gene-0*19-mRNA-1,LOC100901616,IscW_ISCW018501,LOC107360724,ROOT,GO:0004725;GO:0016311;GO:0046872
6,AHWI,AHWI-0001,LOC111243179,LOC111264255,maker-scaffold0000000020-exonerate_protein2genome-gene-0*22-mRNA-1,LOC100902639,IscW_ISCW021644,LOC107370130,ROOT,NA
6,ACGL,ACGL-0001,LOC111243180,LOC111261671,maker-scaffold0000025637-augustus-gene-0*38-mRNA-1,LOC100902126,IscW_ISCW009593,LOC107362619,ROOT,GO:0005581;GO:0005201
6,ACGL,ACGL-0002,LOC111243181,LOC111270346,augustus-scaffold0000008818-processed-gene-0*24-mRNA-1,LOC100901975,IscW_ISCW022619,LOC107370163,ROOT,GO:0005581;GO:0005201
6,ABIV,ABIV-0005,LOC111243185,LOC111263468,maker-scaffold0000005853-augustus-gene-0*28-mRNA-1,LOC100905917,IscW_ISCW019192,LOC107363613,ROOT,GO:0005515
6,AFOJ,AFOJ-0001,LOC111243186,LOC111263469,maker-scaffold0000003721-augustus-gene-0*39-mRNA-1,LOC100902410,IscW_ISCW021269,LOC107367257,ROOT,GO:0046540;GO:0000398
6,AFEC,AFEC-0001,LOC111243187,LOC111260640,maker-scaffold0000000211-augustus-gene-0*12-mRNA-1,LOC100898345,IscW_ISCW019216,LOC107368532,ROOT,GO:0030529;GO:0042254;GO:0005730;GO:0003723
6,AIUR,AIUR-0001,LOC111243191,LOC111264471,genemark-scaffold0000004712-processed-gene-0*11-mRNA-1,LOC100907761,IscW_ISCW005261,LOC107363855,ROOT,NA
6,ABFS,ABFS-0002,LOC111243192,LOC111260041,augustus-scaffold0000010143-processed-gene-0*7-mRNA-1,LOC100907875,IscW_ISCW000900,LOC107368088,ROOT,GO:0005524;GO:0034314;GO:0005885
6,ABMI,ABMI-0002,LOC111243193,LOC111265913,maker-scaffold0000011994-augustus-gene-0*4-mRNA-1,LOC108864264,IscW_ISCW003813,LOC107359050,ROOT,GO:0005829;GO:0005516;GO:0060452;GO:0060087;GO:0030425;GO:0050873;GO:0055119;GO:0007283;GO:0045744;GO:0005096;GO:0010614;GO:0043951;GO:0005654;GO:0031116;GO:0010519;GO:0048487;GO:0000188;GO:0060159;GO:0032809;GO:0007213;GO:0071877;GO:0031234;GO:0043547;GO:0043234;GO:0001965
